"","ypchtotcor","v13","v29","p6"
"1",195417,2,NA,2
"2",195417,2,NA,2
"3",315861,2,NA,3
"4",315861,2,NA,3
"5",315861,2,NA,3
"6",1094870,1,NA,3
"7",1094870,1,NA,3
"8",1094870,1,NA,3
"9",305125,3,NA,2
"10",305125,3,NA,2
"11",330370,2,NA,4
"12",330370,2,NA,4
"13",330370,2,NA,4
"14",330370,2,NA,4
"15",347611,1,NA,4
"16",347611,1,NA,4
"17",347611,1,NA,4
"18",347611,1,NA,4
"19",151042,2,NA,2
"20",151042,2,NA,2
"21",739833,1,NA,1
"22",602084,2,NA,2
"23",602084,2,NA,2
"24",1305000,2,NA,1
"25",660000,2,NA,2
"26",660000,2,NA,2
"27",711042,2,NA,4
"28",711042,2,NA,4
"29",711042,2,NA,4
"30",711042,2,NA,4
"31",1240000,1,NA,2
"32",1240000,1,NA,2
"33",610000,3,NA,2
"34",610000,3,NA,2
"35",370000,2,NA,1
"36",744759,1,NA,1
"37",447188,1,NA,8
"38",447188,1,NA,8
"39",447188,1,NA,8
"40",447188,1,NA,8
"41",447188,1,NA,8
"42",447188,1,NA,8
"43",447188,1,NA,8
"44",447188,1,NA,8
"45",151458,2,NA,4
"46",151458,2,NA,4
"47",151458,2,NA,4
"48",151458,2,NA,4
"49",221458,2,NA,4
"50",221458,2,NA,4
"51",221458,2,NA,4
"52",221458,2,NA,4
"53",6e+05,2,NA,1
"54",35000,2,NA,2
"55",35000,2,NA,2
"56",278542,2,NA,2
"57",278542,2,NA,2
"58",440000,2,NA,1
"59",178680,2,NA,3
"60",178680,2,NA,3
"61",178680,2,NA,3
"62",21221,2,NA,4
"63",21221,2,NA,4
"64",21221,2,NA,4
"65",21221,2,NA,4
"66",452500,2,NA,1
"67",592219,1,NA,3
"68",592219,1,NA,3
"69",592219,1,NA,3
"70",925000,2,NA,2
"71",925000,2,NA,2
"72",116667,2,NA,3
"73",116667,2,NA,3
"74",116667,2,NA,3
"75",733333,1,NA,3
"76",733333,1,NA,3
"77",733333,1,NA,3
"78",554167,2,NA,2
"79",554167,2,NA,2
"80",733334,2,NA,2
"81",733334,2,NA,2
"82",433853,1,NA,2
"83",433853,1,NA,2
"84",340987,2,NA,3
"85",340987,2,NA,3
"86",340987,2,NA,3
"87",167632,2,NA,5
"88",167632,2,NA,5
"89",167632,2,NA,5
"90",167632,2,NA,5
"91",167632,2,NA,5
"92",550000,1,NA,2
"93",550000,1,NA,2
"94",455000,2,NA,2
"95",455000,2,NA,2
"96",182500,1,NA,4
"97",182500,1,NA,4
"98",182500,1,NA,4
"99",182500,1,NA,4
"100",50222,2,NA,3
"101",50222,2,NA,3
"102",50222,2,NA,3
"103",508334,9,NA,2
"104",508334,9,NA,2
"105",140000,2,NA,3
"106",140000,2,NA,3
"107",140000,2,NA,3
"108",426900,3,NA,5
"109",426900,3,NA,5
"110",426900,3,NA,5
"111",426900,3,NA,5
"112",426900,3,NA,5
"113",75000,2,NA,5
"114",75000,2,NA,5
"115",75000,2,NA,5
"116",75000,2,NA,5
"117",75000,2,NA,5
"118",647000,9,NA,5
"119",647000,9,NA,5
"120",647000,9,NA,5
"121",647000,9,NA,5
"122",647000,9,NA,5
"123",274000,1,NA,5
"124",274000,1,NA,5
"125",274000,1,NA,5
"126",274000,1,NA,5
"127",274000,1,NA,5
"128",553543,2,NA,3
"129",553543,2,NA,3
"130",553543,2,NA,3
