"","ypchtotcor","v13","v29","p6"
"1",364753,1,1,8
"2",364753,1,1,8
"3",130998,3,1,8
"4",130998,3,1,8
"5",130998,3,1,8
"6",130998,3,1,8
"7",130998,3,1,8
"8",130998,3,1,8
"9",308495,1,5,15
"10",308495,1,5,15
"11",308495,1,5,15
"12",308495,1,5,15
"13",0,2,1,8
"14",145931,2,99,8
"15",145931,2,99,8
"16",125417,1,2,7
"17",125417,1,2,7
"18",125417,1,2,7
"19",275234,3,99,7
"20",275234,3,99,7
"21",275234,3,99,7
"22",275234,3,99,7
"23",0,2,3,16
"24",0,2,3,16
"25",0,2,3,16
"26",0,2,3,16
"27",0,2,3,16
"28",0,2,3,16
"29",120429,3,3,9
"30",120429,3,3,9
"31",120429,3,3,9
"32",120429,3,3,9
"33",120429,3,3,9
"34",295639,2,5,9
"35",295639,2,5,9
"36",295639,2,5,9
"37",295639,2,5,9
"38",295639,2,5,9
"39",386417,2,99,9
"40",386417,2,99,9
"41",386417,2,99,9
"42",386417,2,99,9
"43",364674,1,2,6
"44",364674,1,2,6
"45",364674,1,2,6
"46",364674,1,2,6
"47",364674,1,2,6
"48",750000,1,1,3
"49",331163,3,1,5
"50",331163,3,1,5
"51",331163,3,1,5
"52",414579,3,2,5
"53",765000,1,2,4
"54",765000,1,2,4
"55",260125,2,2,8
"56",260125,2,2,8
"57",116667,2,1,7
"58",116667,2,1,7
"59",116667,2,1,7
"60",118120,1,2,8
"61",118120,1,2,8
"62",118120,1,2,8
"63",118120,1,2,8
"64",118120,1,2,8
"65",118120,1,2,8
"66",204167,1,99,8
"67",204167,1,99,8
"68",230423,1,2,6
"69",230423,1,2,6
"70",230423,1,2,6
"71",514667,9,2,8
"72",290453,1,99,8
"73",290453,1,99,8
"74",290453,1,99,8
"75",290453,1,99,8
"76",290453,1,99,8
"77",290453,1,99,8
"78",365000,1,1,4
"79",142028,2,1,5
"80",142028,2,1,5
"81",222223,3,3,6
"82",222223,3,3,6
"83",222223,3,3,6
"84",222223,3,3,6
"85",222223,3,3,6
"86",180479,2,2,10
"87",180479,2,2,10
"88",180479,2,2,10
"89",180479,2,2,10
